ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
1098-V	HSK 4	啊	ā	particule d’exclamation; surprise (intonation montante possible)	啊？你来了 - a? nǐ lái le - Ah ? Tu es là.<br>啊！太好了 - a! tài hǎo le - Ah ! C'est super !<br>啊？真的吗？ - a? zhēn de ma? - Ah ? Vraiment ?	grammaire	[sound:hsk1_啊.wav]
2174-V	HSK 4	爱情	àiqíng	amour (romantique)	爱情故事 - àiqíng gùshi - Histoire d'amour<br>他们的爱情很浪漫 - tāmen de àiqíng hěn làngmàn - Leur amour est très romantique<br>爱情电影 - àiqíng diànyǐng - Film d'amour	nom,émotion,relation	[sound:hsk4_爱情.wav]
2175-V	HSK 4	爱心	àixīn	amour, compassion, bienveillance	有爱心的人 - yǒu àixīn de rén - Une personne bienveillante<br>爱心捐款 - àixīn juānkuǎn - Don de charité<br>他很有爱心 - tā hěn yǒu àixīn - Il est très compatissant	nom,émotion,bonté	[sound:hsk4_爱心.wav]
2176-V	HSK 4	按	àn	appuyer sur, selon	按门铃 - àn ménlíng - Appuyer sur la sonnette<br>按时间 - àn shíjiān - Selon l'horaire<br>按规定 - àn guīdìng - Selon les règles	verbe,préposition,action	[sound:hsk4_按.wav]
2177-V	HSK 4	安检	ānjiǎn	contrôle de sécurité	过安检 - guò ānjiǎn - Passer le contrôle de sécurité<br>安检口 - ānjiǎn kǒu - Point de contrôle de sécurité<br>机场安检 - jīchǎng ānjiǎn - Contrôle de sécurité à l'aéroport	nom,voyage,sécurité	[sound:hsk4_安检.wav]
936-V	HSK 4	安排	ānpái	organiser	安排时间 - ānpái shíjiān - Programmer du temps.<br>安排会议 - ānpái huìyì - Plan une réunion<br>工作安排 - gōngzuò ānpái - Organisation du travail	verbe,travail	[sound:hsk1_安排.wav]
2178-V	HSK 4	按时	ànshí	à l'heure, ponctuellement	按时到达 - ànshí dàodá - Arriver à l'heure<br>请按时来 - qǐng ànshí lái - Venez à l'heure s'il vous plaît<br>按时完成 - ànshí wánchéng - Terminer à temps	adverbe,temps,ponctualité	[sound:hsk4_按时.wav]
612-V	HSK 4	按照	ànzhào	selon	按照计划 - ànzhào jìhuà - Selon le plan<br>按照要求 - ànzhào yāoqiú - Selon les exigences	préposition	[sound:hsk1_按照.wav]
2179-V	HSK 4	白酒	báijiǔ	alcool blanc chinois, baijiu	喝白酒 - hē báijiǔ - Boire du baijiu<br>中国白酒很烈 - zhōngguó báijiǔ hěn liè - Le baijiu chinois est très fort<br>一瓶白酒 - yì píng báijiǔ - Une bouteille de baijiu	nom,boisson,alcool	[sound:hsk4_白酒.wav]
2180-V	HSK 4	棒	bàng	super, génial	太棒了 - tài bàng le - Super !<br>你做得很棒 - nǐ zuò de hěn bàng - Tu as fait du super travail<br>棒极了 - bàng jí le - Génial !	adjectif,évaluation,positif	[sound:hsk4_棒.wav]
2181-V	HSK 4	办公	bàngōng	travailler au bureau	办公室 - bàngōngshì - Bureau<br>在家办公 - zài jiā bàngōng - Travailler à domicile<br>办公时间 - bàngōng shíjiān - Heures de bureau	verbe,travail,bureau	[sound:hsk4_办公.wav]
1594-V	HSK 4	办理	bànlǐ	traiter	办理手续 - bànlǐ shǒuxù - procéder à l'enregistrement<br>办理业务 - bànlǐ yèwù - traiter les affaires<br>办理入住 - bànlǐ rùzhù - s'installer	quotidien	[sound:hsk1_办理.wav]
2182-V	HSK 4	办事	bànshì	faire des démarches, s'occuper d'affaires	去办事 - qù bànshì - Aller faire des démarches<br>办事效率 - bànshì xiàolǜ - Efficacité au travail<br>他办事很认真 - tā bànshì hěn rènzhēn - Il est très sérieux dans son travail	verbe,administration,action	[sound:hsk4_办事.wav]
2183-V	HSK 4	抱	bào	serrer dans ses bras, tenir	抱孩子 - bào háizi - Porter un enfant dans ses bras<br>抱一下 - bào yíxià - Faire un câlin<br>她抱着一只猫 - tā bào zhe yì zhī māo - Elle tient un chat dans ses bras	verbe,action,affection	[sound:hsk4_抱.wav]
